# G4 能力缺口矩阵（W27 P0 · 本文件为唯一权威版本，G4CapabilityMatrixTest 机械校验）
#
# 生成口径（auditable，全部由本仓源码机械导出）：
#   CM/SM 行：GameOfMir/Common/Grobal2.pas 常量全集；wire=gate-game ⇔ 该数值在
#             GameProtocolAdapter.isSupported（CM）/适配器出站引用（SM）中，
#             wire=gate-login ⇔ LegacyGateHandler 实际分发/出站；code 必须与 Delphi 同值。
#   SKILL 行：Grobal2.pas SKILL_* 常量 1..59 × {warrior,wizard,taoist}。
#             job 归属仅在 GEEM2 Magic.DB 存在 (MagID,名称) 双匹配时采纳（cjlaaa/Mir2-GeeM2
#             @9981a8d7，引擎重编号段一律不映射）。
#   MERCHANT/GUILD/SIEGE 标签行：M2Share.pas 1032..1079 特殊标签块（sSL_SENDMSG..sHIREGUARDOK）。
#   DEAL/GUILD 其余行：能力级分组，code 引用对应 CM 码（交叉引用由测试校验）。
#
# 状态枚举（plan 五态）：
#   implemented         线上行为已复刻且有自动化证据（evidence 列必填）
#   needs-client-check  已复刻且有本地证据，但字节级 golden/真实客户端对拍仍挂账（evidence 必填）
#   protocol-only       仅协议占位：Java 有常量、线上无处理/无出站
#   logic-only          仅服务端逻辑：无 Java 常量但线上已处理（预留，当前 0 行）
#   unimplemented       无常量无处理
#
# 列：section / key / code / java_constant / wire / status / evidence / delphi_ref / notes
# evidence 逗号分隔，必须是仓库内真实存在的 *Test 类名或既有文档路径（测试校验）。
section	key	code	java_constant	wire	status	evidence	delphi_ref	notes
CM	CM_DROPITEM	1000	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	安全区与 boNOTHROWITEM 门禁；名称截断 quirk
CM	CM_PICKUP	1001	yes	gate-game	implemented	GameItemProtocolTest,WorldGoldDropTest	Grobal2.pas	捡拾；金币堆直接入钱包
CM	CM_OPENDOOR	1002	yes	gate-game	implemented	GameProtocolAdapterTest,WorldDoorAndTeleportTest	Grobal2.pas	静默开门，SM_OPENDOOR_OK ±12 广播
CM	CM_TAKEONITEM	1003	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest	Grobal2.pas	穿戴：性别/负重/Need 门槛 + 槽位对调 + 外观联动
CM	CM_TAKEOFFITEM	1004	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest,WorldDisableTakeOffTest	Grobal2.pas	脱下：n10/-1..-4 + 成功尾随 SM_TAKEOFF_FAIL(0) quirk；Reserved 锁与 DisableTakeOffList
CM	CM_1005	1005	yes	none	protocol-only	-	Grobal2.pas	占位编号
CM	CM_EAT	1006	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	StdMode 0-3 消耗品；书(4)/解包(31) 拒用——技能切片前置
CM	CM_BUTCH	1007	yes	none	protocol-only	-	Grobal2.pas	挖肉（Delphi 回 SM_BUTCH）
CM	CM_MAGICKEYCHANGE	1008	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	技能快捷键持久化——W28 三技能最小切片已接线
CM	CM_SOFTCLOSE	1009	yes	gate-game	implemented	GameSessionIntegrationTest	Grobal2.pas	退出到选人（2s 后客户端复用同一认证重查角色 quirk）
CM	CM_CLICKNPC	1010	yes	none	protocol-only	-	Grobal2.pas	点击 NPC 开对话——脚本引擎前置；W21 仅做到 NPC 可见
CM	CM_MERCHANTDLGSELECT	1011	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest,WorldMerchantCommandTest,GameMerchantCommandProtocolTest	Grobal2.pas	@repair/@s_repair 开修理、@exit 关窗；其余标签经 Market_Def 指令清单可观测拒绝（W29）——见 MERCHANT 区
CM	CM_MERCHANTQUERYSELLPRICE	1012	yes	none	protocol-only	-	Grobal2.pas	出售询价——买卖待库存/金币事务测试（W27 P1）
CM	CM_USERSELLITEM	1013	yes	none	protocol-only	-	Grobal2.pas	出售物品——同上
CM	CM_USERBUYITEM	1014	yes	none	protocol-only	-	Grobal2.pas	购买物品——同上
CM	CM_USERGETDETAILITEM	1015	yes	none	protocol-only	-	Grobal2.pas	详细货品查询——同上
CM	CM_DROPGOLD	1016	yes	none	protocol-only	-	Grobal2.pas	丢弃金币
CM	CM_1017	1017	yes	none	protocol-only	-	Grobal2.pas	占位编号
CM	CM_LOGINNOTICEOK	1018	yes	none	protocol-only	-	Grobal2.pas	登录公告确认（SM_SENDNOTICE 配套）
CM	CM_GROUPMODE	1019	yes	gate-game	implemented	GameGroupProtocolTest,WorldGroupTest	Grobal2.pas	允许组队开关
CM	CM_CREATEGROUP	1020	yes	gate-game	implemented	GameGroupProtocolTest,WorldGroupTest	Grobal2.pas	建组
CM	CM_ADDGROUPMEMBER	1021	yes	gate-game	implemented	GameGroupProtocolTest,WorldGroupTest	Grobal2.pas	拉人入组
CM	CM_DELGROUPMEMBER	1022	yes	gate-game	implemented	GameGroupProtocolTest,WorldGroupTest	Grobal2.pas	踢出组员
CM	CM_USERREPAIRITEM	1023	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	普通/特修两套计价 quirk 均已复刻
CM	CM_MERCHANTQUERYREPAIRCOST	1024	yes	gate-game	implemented	GameRepairProtocolTest,WorldRepairTest	Grobal2.pas	修理报价；无此物品静默 Exit quirk
CM	CM_DEALTRY	1025	yes	none	protocol-only	-	Grobal2.pas	交易发起——交易红线内，见 DEAL 区
CM	CM_DEALADDITEM	1026	yes	none	protocol-only	-	Grobal2.pas	交易放物——见 DEAL 区
CM	CM_DEALDELITEM	1027	yes	none	protocol-only	-	Grobal2.pas	交易取回——见 DEAL 区
CM	CM_DEALCANCEL	1028	yes	none	protocol-only	-	Grobal2.pas	交易取消——见 DEAL 区
CM	CM_DEALCHGGOLD	1029	yes	none	protocol-only	-	Grobal2.pas	交易改金币——见 DEAL 区
CM	CM_DEALEND	1030	yes	none	protocol-only	-	Grobal2.pas	交易确认——见 DEAL 区
CM	CM_USERSTORAGEITEM	1031	yes	none	protocol-only	-	Grobal2.pas	存入仓库——@storage 前置
CM	CM_USERTAKEBACKSTORAGEITEM	1032	yes	none	protocol-only	-	Grobal2.pas	取回仓库物品
CM	CM_WANTMINIMAP	1033	yes	none	protocol-only	-	Grobal2.pas	小地图请求
CM	CM_USERMAKEDRUGITEM	1034	yes	none	protocol-only	-	Grobal2.pas	制药——@makedrug 前置
CM	CM_OPENGUILDDLG	1035	yes	none	protocol-only	-	Grobal2.pas	行会窗口——行会红线内，见 GUILD 区
CM	CM_GUILDHOME	1036	yes	none	protocol-only	-	Grobal2.pas	行会主页——见 GUILD 区
CM	CM_GUILDMEMBERLIST	1037	yes	none	protocol-only	-	Grobal2.pas	行会成员列表——见 GUILD 区
CM	CM_GUILDADDMEMBER	1038	yes	none	protocol-only	-	Grobal2.pas	行会拉人——见 GUILD 区
CM	CM_GUILDDELMEMBER	1039	yes	none	protocol-only	-	Grobal2.pas	行会踢人——见 GUILD 区
CM	CM_GUILDUPDATENOTICE	1040	yes	none	protocol-only	-	Grobal2.pas	行会公告——见 GUILD 区
CM	CM_GUILDUPDATERANKINFO	1041	yes	none	protocol-only	-	Grobal2.pas	行会封号/排位——见 GUILD 区
CM	CM_1042	1042	yes	none	protocol-only	-	Grobal2.pas	占位编号
CM	CM_ADJUST_BONUS	1043	yes	none	protocol-only	-	Grobal2.pas	升级加点
CM	CM_GUILDALLY	1044	yes	none	protocol-only	-	Grobal2.pas	行会结盟——见 GUILD 区
CM	CM_GUILDBREAKALLY	1045	yes	none	protocol-only	-	Grobal2.pas	行会解盟——见 GUILD 区
CM	CM_PROTOCOL	2000	yes	gate-login	implemented	GateTest,LegacyGateHandlerTest	Grobal2.pas	LOGIN 首包 → SM_CERTIFICATION_SUCCESS
CM	CM_IDPASSWORD	2001	yes	gate-login	implemented	LegacyGateHandlerTest,GateAdmissionIntegrationTest	Grobal2.pas	账密登录 → SM_PASSOK_SELECTSERVER
CM	CM_PASSWORD	2001	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	alias → CM_IDPASSWORD（同值 2001，同码处理）；按账密登录处理
CM	CM_ADDNEWUSER	2002	yes	none	protocol-only	-	Grobal2.pas	注册账号——LoginSrv 族；本服务 LOGIN 口回 SM_CERTIFICATION_FAIL
CM	CM_CHGPASSWORD	2002	yes	none	protocol-only	-	Grobal2.pas	改密；与 CM_ADDNEWUSER 同值 2002——LoginSrv 族不处理
CM	CM_CHANGEPASSWORD	2003	yes	none	protocol-only	-	Grobal2.pas	改密——LoginSrv 族
CM	CM_SETPASSWORD	2004	yes	none	protocol-only	-	Grobal2.pas	密码设置；与 CM_UPDATEUSER 同值 2004——LoginSrv 族不处理
CM	CM_UPDATEUSER	2004	yes	none	protocol-only	-	Grobal2.pas	账号更新——LoginSrv 族
CM	CM_THROW	3005	yes	none	protocol-only	-	Grobal2.pas	投掷（飞斧类技能动作）
CM	CM_TURN	3010	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest	Grobal2.pas	八向转身；+GOOD/+FAIL 状态帧应答
CM	CM_WALK	3011	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest,WorldDoorAndTeleportTest	Grobal2.pas	行走校验；落格联动门/传送路线
CM	CM_SITDOWN	3012	yes	none	protocol-only	-	Grobal2.pas	坐下/挖掘动作
CM	CM_RUN	3013	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest	Grobal2.pas	跑步（单步两格）
CM	CM_HIT	3014	yes	gate-game	implemented	GameCombatProtocolTest,WorldCombatTest	Grobal2.pas	单格近战，共享普攻间隔
CM	CM_HEAVYHIT	3015	yes	gate-game	implemented	GameCombatProtocolTest,WorldCombatTest	Grobal2.pas	重击走普攻路径
CM	CM_BIGHIT	3016	yes	gate-game	implemented	GameCombatProtocolTest,WorldCombatTest	Grobal2.pas	攻杀动作码走普攻路径；CM_POWERHIT/LONGHIT/WIDEHIT/FIREHIT 技能砍击未接入（技能切片前置）
CM	CM_SPELL	3017	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	施法——W28 三技能最小切片已接线
CM	CM_POWERHIT	3018	yes	none	protocol-only	-	Grobal2.pas	攻杀剑术砍击——技能切片前置
CM	CM_LONGHIT	3019	yes	none	protocol-only	-	Grobal2.pas	刺杀剑术砍击——技能切片前置
CM	CM_WIDEHIT	3024	yes	none	protocol-only	-	Grobal2.pas	半月弯刀砍击——技能切片前置
CM	CM_FIREHIT	3025	yes	none	protocol-only	-	Grobal2.pas	烈火剑法砍击——技能切片前置
CM	CM_SAY	3030	yes	gate-game	implemented	WorldChatAndDayCycleTest,GameProtocolAdapterTest	Grobal2.pas	本地聊天/私聊/喊话/系统命令分发
CM	CM_HORSERUN	3035	yes	none	protocol-only	-	Grobal2.pas	骑马（泄露源注释即标未知消息码）
CM	CM_CRSHIT	3036	yes	none	protocol-only	-	Grobal2.pas	未知消息码
CM	CM_3037	3037	yes	none	protocol-only	-	Grobal2.pas	占位编号
CM	CM_TWINHIT	3038	yes	none	protocol-only	-	Grobal2.pas	狂风斩技能码（SKILL_TWINBLADE）
CM	CM_QUERYUSERSET	3040	yes	none	protocol-only	-	Grobal2.pas	客户端设置查询
CM	CM_GETGAMELIST	5001	yes	none	protocol-only	-	Grobal2.pas	游戏列表——LoginSrv/私服族
CM	CM_GETBACKPASSWORD	5003	yes	none	protocol-only	-	Grobal2.pas	找回密码——LoginSrv 族
CM	CM_SPEEDHACKUSER	10430	yes	none	protocol-only	-	Grobal2.pas	加速举报（反外挂）
CM	CM_SERVERREGINFO	65074	yes	none	protocol-only	-	Grobal2.pas	服务器注册信息——私服族
SM	SM_41	4	yes	none	protocol-only	-	Grobal2.pas	占位编号
SM	SM_THROW	5	yes	none	protocol-only	-	Grobal2.pas	投掷动作帧（技能）
SM	SM_RUSH	6	yes	none	protocol-only	-	Grobal2.pas	野蛮冲撞动作帧——SKILL_MOOTEBO 技能切片
SM	SM_RUSHKUNG	7	yes	none	protocol-only	-	Grobal2.pas	冲撞延续动作帧
SM	SM_FIREHIT	8	yes	none	protocol-only	-	Grobal2.pas	烈火动作帧——技能切片
SM	SM_BACKSTEP	9	yes	none	protocol-only	-	Grobal2.pas	移动失败动作帧（泄露源服务端未见发送）
SM	SM_TURN	10	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest	Grobal2.pas	转身广播
SM	SM_WALK	11	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest	Grobal2.pas	行走广播
SM	SM_SITDOWN	12	yes	none	protocol-only	-	Grobal2.pas	坐下动作帧
SM	SM_RUN	13	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEngineTest	Grobal2.pas	跑步广播
SM	SM_HIT	14	yes	gate-game	implemented	GameProtocolAdapterTest,WorldCombatTest	Grobal2.pas	普攻动作广播
SM	SM_HEAVYHIT	15	yes	gate-game	implemented	GameCombatProtocolTest,WorldCombatTest	Grobal2.pas	重击动作广播
SM	SM_BIGHIT	16	yes	gate-game	implemented	GameCombatProtocolTest,WorldCombatTest	Grobal2.pas	攻杀动作广播
SM	SM_SPELL	17	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	施法动作帧——W28 三技能最小切片已接线
SM	SM_POWERHIT	18	yes	none	protocol-only	-	Grobal2.pas	攻杀动作帧——技能切片
SM	SM_LONGHIT	19	yes	none	protocol-only	-	Grobal2.pas	刺杀动作帧——技能切片
SM	SM_DIGUP	20	yes	none	protocol-only	-	Grobal2.pas	挖掘动作帧（向上）
SM	SM_DIGDOWN	21	yes	none	protocol-only	-	Grobal2.pas	挖掘动作帧（向下）
SM	SM_FLYAXE	22	yes	none	protocol-only	-	Grobal2.pas	掷斧动作帧
SM	SM_LIGHTING	23	yes	none	protocol-only	-	Grobal2.pas	亮灯/天亮动作帧
SM	SM_WIDEHIT	24	yes	none	protocol-only	-	Grobal2.pas	半月动作帧——技能切片
SM	SM_CRSHIT	25	yes	none	protocol-only	-	Grobal2.pas	未知动作帧
SM	SM_TWINHIT	26	yes	none	protocol-only	-	Grobal2.pas	狂风斩动作帧
SM	SM_ALIVE	27	yes	gate-game	implemented	GameLevelAndRevivalProtocolTest,WorldLevelAndDeathTest	Grobal2.pas	复活；param/tag 传格位而非 HP（Delphi 源语义，客户端注释与实际用法分歧按源复刻）
SM	SM_MOVEFAIL	28	yes	none	protocol-only	-	Grobal2.pas	移动失败帧（Java 以 +FAIL 应答，与 Delphi 常规路径一致）
SM	SM_HIDE	29	yes	none	protocol-only	-	Grobal2.pas	隐身动作帧——隐身术技能切片
SM	SM_DISAPPEAR	30	yes	gate-game	implemented	GameProtocolAdapterTest	Grobal2.pas	对象离场
SM	SM_STRUCK	31	yes	gate-game	implemented	GameProtocolAdapterTest,WorldCombatTest	Grobal2.pas	受击（含伤害值）
SM	SM_DEATH	32	yes	gate-game	implemented	GameProtocolAdapterTest,WorldLevelAndDeathTest	Grobal2.pas	死亡广播
SM	SM_SKELETON	33	yes	none	protocol-only	-	Grobal2.pas	尸骨帧
SM	SM_NOWDEATH	34	yes	none	protocol-only	-	Grobal2.pas	即死帧
SM	SM_HEAR	40	yes	gate-game	implemented	WorldChatAndDayCycleTest,GameProtocolAdapterTest	Grobal2.pas	本地聊天/喊话
SM	SM_FEATURECHANGED	41	yes	gate-game	implemented	GameProtocolAdapterTest,WorldEquipmentTest	Grobal2.pas	外观变化
SM	SM_USERNAME	42	yes	gate-game	implemented	GameProtocolAdapterTest	Grobal2.pas	查询姓名应答
SM	SM_43	43	yes	none	protocol-only	-	Grobal2.pas	占位编号
SM	SM_WINEXP	44	yes	gate-game	implemented	WorldCombatTest,WorldGroupExpTest	Grobal2.pas	经验获取（含组队分摊）
SM	SM_LEVELUP	45	yes	gate-game	implemented	GameLevelAndRevivalProtocolTest,WorldLevelAndDeathTest	Grobal2.pas	升级；随后跟 SM_ABILITY
SM	SM_DAYCHANGING	46	yes	gate-game	implemented	WorldChatAndDayCycleTest	Grobal2.pas	昼夜切换
SM	SM_LOGON	50	yes	gate-game	implemented	GameProtocolAdapterTest,GameSessionIntegrationTest	Grobal2.pas	进图注册，TMessageBodyWL 体
SM	SM_NEWMAP	51	yes	gate-game	implemented	GameProtocolAdapterTest,WorldDoorAndTeleportTest	Grobal2.pas	新图通知
SM	SM_ABILITY	52	yes	gate-game	implemented	GameProtocolAdapterTest,WorldLevelAndDeathTest	Grobal2.pas	50B TAbility；头 recog=金币，param=MakeWord(job,99)
SM	SM_HEALTHSPELLCHANGED	53	yes	gate-game	implemented	GameProtocolAdapterTest,WorldCombatTest	Grobal2.pas	HP/MP 变化
SM	SM_MAPDESCRIPTION	54	yes	gate-game	implemented	WorldDoorAndTeleportTest	Grobal2.pas	地图描述
SM	SM_SYSMESSAGE	100	yes	gate-game	implemented	GameProtocolAdapterTest,WorldRepairTest	Grobal2.pas	系统提示
SM	SM_GROUPMESSAGE	101	yes	none	protocol-only	-	Grobal2.pas	组队频道聊天（组队管理已实现，频道未通）
SM	SM_CRY	102	yes	none	protocol-only	-	Grobal2.pas	挖掘/哭动作帧
SM	SM_WHISPER	103	yes	gate-game	implemented	WorldChatAndDayCycleTest,GameProtocolAdapterTest	Grobal2.pas	私聊
SM	SM_GUILDMESSAGE	104	yes	none	protocol-only	-	Grobal2.pas	行会聊天——见 GUILD 区
SM	SM_SPELL2	117	yes	none	protocol-only	-	Grobal2.pas	施法扩展帧——技能切片
SM	SM_ADDITEM	200	yes	gate-game	needs-client-check	ClientItemCodecTest,GameItemProtocolTest	Grobal2.pas	76B TClientItem 体逐位单测已过；Delphi 字节级 golden 需真实客户端对拍（translation-map 挂账）
SM	SM_BAGITEMS	201	yes	gate-game	needs-client-check	ClientItemCodecTest,GameItemProtocolTest	Grobal2.pas	同上；空包静默 quirk 已复刻
SM	SM_DELITEM	202	yes	none	protocol-only	-	Grobal2.pas	单物品删除（批量走 SM_DELITEMS）
SM	SM_UPDATEITEM	203	yes	none	protocol-only	-	Grobal2.pas	单物品更新
SM	SM_ADDMAGIC	210	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	技能习得下发——W28 三技能最小切片已接线
SM	SM_SENDMYMAGIC	211	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	技能列表同步——W28 三技能最小切片已接线
SM	SM_DELMAGIC	212	yes	none	protocol-only	-	Grobal2.pas	技能遗忘下发——技能切片
SM	SM_CERTIFICATION_SUCCESS	500	yes	gate-login	implemented	GateTest,LegacyGateHandlerTest	Grobal2.pas	LOGIN 首包应答
SM	SM_CERTIFICATION_FAIL	501	yes	gate-login	implemented	GateTest,LegacyGateHandlerTest	Grobal2.pas	LOGIN 未识别消息的统一拒绝
SM	SM_ID_NOTFOUND	502	yes	none	protocol-only	-	Grobal2.pas	账号不存在（Java 并入 SM_PASSWD_FAIL）
SM	SM_PASSWD_FAIL	503	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	登录失败（Delphi 的 SM_ID_NOTFOUND 并入此应答）
SM	SM_NEWID_SUCCESS	504	yes	none	protocol-only	-	Grobal2.pas	注册成功——LoginSrv 族
SM	SM_NEWID_FAIL	505	yes	none	protocol-only	-	Grobal2.pas	注册失败——LoginSrv 族
SM	SM_CHGPASSWD_SUCCESS	506	yes	none	protocol-only	-	Grobal2.pas	改密成功——LoginSrv 族
SM	SM_CHGPASSWD_FAIL	507	yes	none	protocol-only	-	Grobal2.pas	改密失败——LoginSrv 族
SM	SM_QUERYCHR	520	yes	gate-login	implemented	LegacyGateHandlerTest,CharacterServiceTest	Grobal2.pas	角色列表应答
SM	SM_NEWCHR_SUCCESS	521	yes	gate-login	implemented	LegacyGateHandlerTest,CharacterServiceTest	Grobal2.pas	建号成功
SM	SM_NEWCHR_FAIL	522	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	建号失败；当前兼作删号失败应答
SM	SM_DELCHR_SUCCESS	523	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	删号成功
SM	SM_DELCHR_FAIL	524	yes	none	protocol-only	-	Grobal2.pas	删号失败（Java 当前复用 SM_NEWCHR_FAIL——见 CM_DELCHR）
SM	SM_STARTPLAY	525	yes	gate-login	implemented	LegacyGateHandlerTest,GateAdmissionIntegrationTest	Grobal2.pas	选人通过，派 GAME 地址
SM	SM_STARTFAIL	526	yes	gate-login	implemented	GateSessionRegistryTest,GameSessionIntegrationTest	Grobal2.pas	GAME 认证/进图失败
SM	SM_QUERYCHR_FAIL	527	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	SELECT 未识别消息的统一拒绝
SM	SM_OUTOFCONNECTION	528	yes	gate-login	implemented	LegacyGateHandlerTest	Grobal2.pas	认证失效
SM	SM_PASSOK_SELECTSERVER	529	yes	gate-login	implemented	LegacyGateHandlerTest,GateAdmissionIntegrationTest	Grobal2.pas	账密通过，下发选服信息
SM	SM_SELECTSERVER_OK	530	yes	gate-login	implemented	GateAdmissionIntegrationTest,LegacyGateHandlerTest	Grobal2.pas	派 SELECT 端口+认证码
SM	SM_NEEDUPDATE_ACCOUNT	531	yes	none	protocol-only	-	Grobal2.pas	账号需更新——LoginSrv 族
SM	SM_UPDATEID_SUCCESS	532	yes	none	protocol-only	-	Grobal2.pas	账号更新成功——LoginSrv 族
SM	SM_UPDATEID_FAIL	533	yes	none	protocol-only	-	Grobal2.pas	账号更新失败——LoginSrv 族
SM	SM_DROPITEM_SUCCESS	600	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	丢弃成功
SM	SM_DROPITEM_FAIL	601	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	丢弃失败
SM	SM_ITEMSHOW	610	yes	gate-game	implemented	GameItemProtocolTest,WorldGoldDropTest	Grobal2.pas	地面物品显示
SM	SM_ITEMHIDE	611	yes	gate-game	implemented	GameItemProtocolTest,WorldGoldDropTest	Grobal2.pas	地面物品消失
SM	SM_OPENDOOR_OK	612	yes	gate-game	implemented	WorldDoorAndTeleportTest,GameProtocolAdapterTest	Grobal2.pas	开门
SM	SM_OPENDOOR_LOCK	613	yes	none	protocol-only	-	Grobal2.pas	门已锁（城堡门差异分支，W10 挂账）
SM	SM_CLOSEDOOR	614	yes	gate-game	implemented	WorldDoorAndTeleportTest	Grobal2.pas	关门（5s 自动关）
SM	SM_TAKEON_OK	615	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest	Grobal2.pas	穿戴成功（feature/featureEx）
SM	SM_TAKEON_FAIL	616	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest	Grobal2.pas	穿戴失败 n18 码
SM	SM_TAKEOFF_OK	619	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest	Grobal2.pas	脱下成功——按 quirk 后随 FAIL(0)
SM	SM_TAKEOFF_FAIL	620	yes	gate-game	implemented	GameItemProtocolTest,WorldEquipmentTest	Grobal2.pas	脱下失败；成功路径也尾随 recog=0 quirk
SM	SM_SENDUSEITEMS	621	yes	gate-game	needs-client-check	ClientItemCodecTest,WorldEquipmentTest	Grobal2.pas	同上（穿戴集合编码）
SM	SM_WEIGHTCHANGED	622	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	三桶负重刷新
SM	SM_CLEAROBJECTS	633	yes	gate-game	implemented	WorldDoorAndTeleportTest	Grobal2.pas	换图清屏
SM	SM_CHANGEMAP	634	yes	gate-game	implemented	WorldDoorAndTeleportTest	Grobal2.pas	换图
SM	SM_EAT_OK	635	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	使用成功（含变质/增益文案路径）
SM	SM_EAT_FAIL	636	yes	gate-game	implemented	GameItemProtocolTest	Grobal2.pas	使用失败
SM	SM_BUTCH	637	yes	none	protocol-only	-	Grobal2.pas	挖肉应答
SM	SM_MAGICFIRE	638	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	施法结果广播——W28 三技能最小切片已接线
SM	SM_MAGICFIRE_FAIL	639	yes	gate-game	implemented	GameMagicProtocolTest,WorldMagicTest	Grobal2.pas	施法失败——W28 三技能最小切片已接线
SM	SM_MAGIC_LVEXP	640	yes	none	protocol-only	-	Grobal2.pas	技能熟练度——技能切片
SM	SM_DURACHANGE	642	yes	gate-game	implemented	WorldRevivalRingTest,WorldRepairTest	Grobal2.pas	耐久变化（含千位桶 quirk）
SM	SM_MERCHANTSAY	643	yes	none	protocol-only	-	Grobal2.pas	商人说话——脚本引擎前置
SM	SM_MERCHANTDLGCLOSE	644	yes	gate-game	implemented	GameMerchantCommandProtocolTest	Grobal2.pas	@exit 关商人窗口（RM_MERCHANTDLGCLOSE, ObjBase.pas:5846）W29
