# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: rows in original dump order (= Idx order)
# note: duplicate StdItems name '火龙气焰' (idx 412 and 671); first row wins by-name lookup
# note: duplicate StdItems name '魔法头盔' (idx 65 and 265); first row wins by-name lookup
# columns: idx	name	stdMode	shape	weight	aniCount	source	reserved	looks	duraMax	ac	ac2	mac	mac2	dc	dc2	mc	mc2	sc	sc2	need	needLevel	price
41	食人树的果实	42	0	1	0	0	0	256	1	0	0	0	0	0	0	0	0	0	0	0	0	300
42	蝎子的尾巴	42	0	1	0	0	0	254	1	0	0	0	0	0	0	0	0	0	0	0	0	50
43	蛆卵	42	0	1	0	0	0	252	1	0	0	0	0	0	0	0	0	0	0	0	0	500
44	灰色药粉(少量)	25	1	1	0	0	0	251	5000	0	0	0	0	0	0	0	0	0	0	0	0	5000
45	黄色药粉(少量)	25	2	1	0	0	0	250	5000	0	0	0	0	0	0	0	0	0	0	0	0	5000
46	古铜戒指	22	0	1	0	0	0	145	5000	0	0	0	0	0	1	0	0	0	0	0	3	500
47	青铜头盔	15	0	4	0	0	0	100	8000	0	1	0	0	0	0	0	0	0	0	0	10	1000
48	金项链	20	0	1	0	0	0	222	8000	0	0	0	1	0	0	0	0	0	0	0	2	500
49	铁手镯	24	0	1	0	0	0	180	4000	0	1	0	0	0	0	0	0	0	0	0	3	800
50	灰色药粉(中量)	25	1	2	0	0	0	251	10000	0	0	0	0	0	0	0	0	0	0	0	1	10000
51	灰色药粉(大量)	25	1	3	0	0	0	251	15000	0	0	0	0	0	0	0	0	0	0	0	1	15000
52	黄色药粉(中量)	25	2	2	0	0	0	250	10000	0	0	0	0	0	0	0	0	0	0	0	1	10000
53	黄色药粉(大量)	25	2	3	0	0	0	250	15000	0	0	0	0	0	0	0	0	0	0	0	1	15000
54	乌木剑	5	1	8	0	0	0	43	7000	0	0	0	0	4	8	0	1	0	0	0	4	4000
55	魔杖	6	12	10	0	0	0	42	15000	0	0	0	0	5	9	2	4	0	0	0	26	25000
56	八荒	5	15	25	27	0	0	44	18000	0	0	0	0	4	12	0	0	0	0	0	15	5000
57	鸡肉	40	0	1	0	0	0	13	4000	0	0	0	0	0	0	0	0	0	0	0	0	80
58	玻璃戒指	22	0	1	0	0	0	143	3000	0	0	0	0	0	0	0	0	0	1	0	7	800
59	牛角戒指	22	0	1	0	0	0	140	6000	0	0	0	1	0	1	0	0	0	0	0	9	1000
60	蓝色水晶戒指	22	0	1	0	0	0	142	10000	0	0	0	2	1	0	0	0	0	0	0	16	1500
61	六角戒指	22	0	1	0	0	0	144	6000	0	0	0	0	0	0	0	1	0	0	0	7	800
62	黑檀项链	20	0	1	0	0	0	220	8000	0	0	0	0	0	0	1	0	0	0	0	13	1200
63	黄色水晶项链	20	0	1	0	0	0	221	8000	0	0	0	0	1	0	0	0	0	0	0	13	1200
64	黑色水晶项链	20	0	1	0	0	0	225	8000	0	0	0	0	1	0	0	0	0	0	0	13	1500
65	魔法头盔	15	0	4	0	0	0	100	8000	0	1	1	1	0	0	0	0	0	0	0	14	2000
66	沃玛号角	44	0	1	0	0	0	261	1	0	0	0	0	0	0	0	0	0	0	0	0	1000
67	半月	5	16	16	0	0	0	46	14000	0	0	0	0	5	10	0	0	1	1	0	15	4000
68	皮制手套	26	0	2	0	0	0	190	6000	0	1	0	0	0	0	0	0	0	0	0	7	1500
69	坚固手套	26	0	3	0	0	0	191	8000	0	2	0	0	0	0	0	0	0	0	0	18	7000
70	钢手镯	26	0	1	0	0	0	180	5000	0	1	0	1	0	0	0	0	0	0	0	8	2000
71	生铁戒指	22	0	1	0	0	0	141	5000	0	2	0	0	0	0	0	1	0	0	2	9	3000
72	金戒指	22	0	1	0	0	0	148	5000	0	0	0	3	1	1	1	1	1	1	0	20	8000
73	灯笼项链	19	0	1	0	0	0	233	8000	0	1	0	0	1	0	0	0	0	0	0	18	3000
74	白色虎齿项链	19	0	1	0	0	0	230	7000	0	2	0	0	0	0	0	0	1	0	3	11	3000
75	魅力戒指	22	0	1	0	0	0	159	5000	0	0	0	0	0	0	1	2	0	0	0	23	4000
76	道德戒指	22	0	1	0	0	0	153	5000	0	0	0	0	0	0	0	0	1	2	0	23	4000
77	白金项链	20	0	1	0	0	0	231	6000	0	0	0	0	0	0	0	2	0	0	2	10	2000
78	降妖除魔戒指	22	0	1	0	0	0	152	5000	0	0	0	4	1	2	1	2	1	2	0	25	10000
79	躲避手链	20	0	1	0	0	0	238	8000	0	0	0	3	0	0	0	0	0	0	3	12	25000
80	地牢逃脱卷	3	1	1	106	0	0	408	1	0	0	0	0	0	0	0	0	0	0	0	1	100
81	偃月	6	18	13	0	0	0	49	12000	0	0	0	0	4	10	1	3	0	0	0	20	10000
82	降魔	5	14	20	0	0	0	47	17000	0	1	0	0	6	11	0	0	1	2	0	20	10000
83	传统项链	20	0	1	0	0	0	237	8000	0	1	0	0	0	0	0	0	0	0	0	3	1000
84	小手镯	26	0	1	0	0	0	192	5000	0	0	0	1	0	0	0	0	0	0	0	5	1000
85	银手镯	24	0	1	0	0	0	202	7000	0	0	0	1	0	0	0	0	0	0	0	7	1500
86	大手镯	26	0	1	0	0	0	203	10000	1	1	0	0	0	0	0	0	0	0	0	9	5000
87	鹤嘴锄	6	19	10	0	0	0	50	10000	0	0	0	0	0	8	0	0	0	0	0	22	700
88	隐身戒指	22	111	1	0	0	0	174	4000	0	0	0	0	0	0	0	0	0	0	0	12	25000
89	抗拒火环	4	1	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	500
90	地狱火	4	1	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1000
91	雷电术	4	1	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1000
92	疾光电影	4	1	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	10000
93	灵魂火符	4	2	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1000
94	幽灵盾	4	2	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	5000
95	神圣战甲术	4	2	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	10000
96	金创药(中量)	0	0	2	104	0	0	400	1	70	0	0	0	0	0	0	0	0	0	0	0	110
97	魔法药(中量)	0	0	2	105	0	0	396	1	0	0	110	0	0	0	0	0	0	0	0	0	110
98	黑色水晶戒指	22	0	1	0	0	0	163	5000	0	0	0	0	0	2	0	0	0	0	0	20	2000
99	魔鬼项链	20	0	1	0	0	0	235	8000	0	0	0	0	2	0	0	0	0	0	0	17	2500
100	珊瑚戒指	22	0	1	0	0	0	164	5000	0	0	0	0	0	4	0	0	0	0	0	25	15000
101	蓝翡翠项链	20	0	1	0	0	0	246	8000	0	0	0	0	2	2	0	0	0	0	0	23	10000
102	蛇眼戒指	22	0	1	0	0	0	165	5000	0	0	0	0	0	0	0	2	0	0	0	20	2000
103	琥珀项链	20	0	1	0	0	0	236	6000	0	0	0	0	0	0	2	0	0	0	0	17	2000
104	护身符	25	5	1	0	0	0	270	10000	0	0	0	0	0	0	0	0	0	0	0	0	500
105	刺杀剑术	4	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	5000
106	放大镜	20	0	1	0	0	0	245	6000	0	0	0	0	0	0	1	3	0	0	0	24	6000
107	红宝石戒指	22	0	1	0	0	0	166	5000	0	0	0	0	0	0	0	4	0	0	2	17	15000
108	珍珠戒指	22	0	1	0	0	0	161	5000	0	0	0	0	0	0	0	0	0	2	0	20	2000
109	竹笛	20	0	1	0	0	0	242	7000	0	0	0	0	0	0	0	0	1	3	0	24	6000
110	铂金戒指	22	0	1	0	0	0	173	5000	0	0	0	0	0	0	0	0	0	4	3	17	15000
111	骷髅戒指	22	0	1	0	0	0	177	5000	0	0	0	0	0	3	0	0	0	0	1	30	5000
112	龙之戒指	22	0	1	0	0	0	169	5000	0	0	0	0	0	5	0	0	0	0	1	37	20000
113	死神手套	26	0	2	0	0	0	188	8000	0	0	0	0	1	2	0	0	0	0	0	22	8000
114	骷髅头盔	15	0	5	0	0	0	103	8000	2	3	0	0	0	0	0	0	0	0	1	30	8000
115	魔法手镯	26	0	1	0	0	0	205	7000	0	1	1	2	0	0	0	0	0	0	0	18	4000
116	金手镯	26	0	1	0	0	0	207	7000	0	0	2	3	0	1	0	0	0	0	0	23	7000
117	道士头盔	15	0	3	0	0	0	106	8000	1	2	2	3	0	0	0	0	0	0	0	24	5000
118	传送戒指	22	112	1	0	0	0	172	5000	0	0	0	0	0	0	0	0	0	0	0	12	50000
119	尽力手镯	26	0	1	0	0	0	201	7000	0	0	0	0	1	1	0	0	0	0	1	24	1000
120	骑士手镯	26	0	1	0	0	0	209	7000	0	0	0	0	2	2	0	0	0	0	1	39	15000
121	绿色项链	20	0	1	0	0	0	240	8000	0	0	0	0	2	5	0	0	0	0	1	37	20000
122	凤凰明珠	20	0	1	0	0	0	243	7000	0	0	0	0	0	0	0	0	1	2	0	17	2000
123	道士手镯	26	0	1	0	0	0	198	7000	0	0	0	0	0	0	0	0	0	1	0	19	4000
124	三眼手镯	26	0	1	0	0	0	208	7000	0	0	0	0	0	0	0	0	0	2	3	22	10000
125	灵魂项链	20	0	1	0	0	0	239	7000	0	0	0	0	0	0	0	0	1	6	3	23	25000
126	黑檀手镯	26	0	1	0	0	0	211	6000	0	0	0	0	0	0	0	1	0	0	0	19	4000
127	思贝儿手镯	26	0	1	0	0	0	210	6000	0	0	0	0	0	0	0	2	0	0	0	26	10000
128	恶魔铃铛	20	0	1	0	0	0	244	6000	0	0	0	0	0	0	0	7	0	0	2	27	25000
129	铜矿	43	0	4	0	0	0	286	10000	0	0	0	0	0	0	0	0	0	0	0	0	500
130	铁矿	43	0	4	0	0	0	281	10000	0	0	0	0	0	0	0	0	0	0	0	0	1000
131	银矿	43	0	4	0	0	0	285	10000	0	0	0	0	0	0	0	0	0	0	0	0	2500
132	金矿	43	0	4	0	0	0	280	10000	0	0	0	0	0	0	0	0	0	0	0	0	6000
133	战神油	3	10	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1000
134	回城卷	3	3	1	108	0	0	402	1	0	0	0	0	0	0	0	0	0	0	0	0	500
135	祝福油	3	4	1	0	0	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	1000
136	麻痹戒指	22	113	1	0	0	0	168	5000	0	0	0	0	0	1	0	0	0	0	0	16	20000
137	复活戒指	22	114	1	0	0	0	175	5000	0	1	0	1	0	0	0	0	0	0	0	16	20000
138	火焰戒指	22	115	1	0	0	0	171	5000	0	0	0	0	0	0	1	2	0	0	0	16	20000
139	防御戒指	22	116	1	0	0	0	167	5000	0	0	0	0	0	0	0	0	1	2	0	16	20000
140	愤怒戒指	22	117	1	0	0	0	167	5000	0	0	0	0	0	0	0	0	0	0	0	16	20000
141	护身戒指	22	118	1	0	0	0	176	5000	0	1	0	0	0	0	0	0	0	0	0	16	20000
142	超负载戒指	22	119	1	0	0	0	170	5000	0	0	0	0	0	1	0	0	0	0	0	16	20000
143	技巧项链	20	120	1	0	0	0	241	8000	0	0	0	0	0	0	0	0	0	0	0	16	20000
144	狂风戒指	23	0	1	0	0	0	162	5000	2	0	0	0	0	1	0	0	0	0	0	16	20000
145	夏普儿手镯	24	0	1	0	0	0	204	7000	0	2	0	0	0	0	0	0	0	0	0	16	20000
146	狂风项链	21	0	1	0	0	0	228	8000	4	0	0	0	0	1	0	0	0	0	0	19	20000
147	辟邪手镯	24	0	1	0	0	0	200	7000	0	0	0	2	0	0	0	0	0	0	0	19	20000
148	探测项链	20	121	1	0	0	0	248	8000	0	0	0	0	0	0	0	0	0	0	0	1	20000
149	困魔咒	4	2	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1	10000
150	召唤骷髅	4	2	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	2000
151	隐身术	4	2	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	2000
152	集体隐身术	4	2	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	3000
153	诱惑之光	4	1	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	1000
154	瞬息移动	4	1	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	2000
155	火墙	4	1	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	3000
156	爆裂火焰	4	1	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1	3000
157	地狱雷光	4	1	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	10000
158	半月弯刀	4	0	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1	8000
159	太阳水	0	1	2	0	0	0	16	1	70	0	110	0	0	0	0	0	0	0	0	1	1000
160	祖玛头像	44	1	1	0	0	0	271	1	0	0	0	0	0	0	0	0	0	0	0	1	1000
161	强效金创药	0	0	3	100	0	0	28	1	110	0	0	0	0	0	0	0	0	0	0	1	225
162	强效魔法药	0	0	3	101	0	0	29	1	0	0	180	0	0	0	0	0	0	0	0	1	225
163	随机传送卷	3	2	1	107	0	0	404	1	0	0	0	0	0	0	0	0	0	0	0	1	100
164	无极棍	5	21	15	0	-4	0	52	25000	0	1	0	0	2	18	0	0	2	4	0	29	30000
165	血饮	5	22	12	0	0	0	53	20000	0	5	0	0	6	16	2	3	0	0	2	27	30000
166	裁决之杖	6	24	80	0	0	0	55	32000	0	0	0	0	0	33	0	0	0	0	0	30	35000
167	记忆戒指	22	122	1	0	0	0	178	7000	0	0	0	0	0	0	0	0	1	3	0	26	20000
168	记忆项链	19	123	1	0	0	0	247	8000	0	0	0	0	2	4	0	0	0	0	0	26	10000
169	记忆手镯	24	124	1	0	0	0	212	6000	0	0	0	0	0	0	1	1	0	0	0	26	10000
170	记忆头盔	15	125	7	0	0	0	109	8000	3	3	0	0	0	0	0	0	0	0	0	26	10000
171	祈祷之刃	5	23	10	0	0	8	54	20000	0	3	0	1	8	20	0	0	0	0	0	20	25000
172	祈祷手镯	26	0	1	0	0	8	213	5000	0	0	0	0	0	2	0	0	0	0	0	15	10000
173	祈祷项链	21	0	1	0	0	8	249	5000	0	0	0	0	0	0	0	0	0	4	0	15	10000
174	祈祷戒指	22	0	1	0	0	8	179	5000	0	0	0	0	0	0	1	5	0	0	0	15	10000
175	祈祷头盔	15	0	2	0	0	8	110	5000	3	4	1	2	0	0	0	0	0	0	0	18	20000
176	行会回城卷	3	5	1	109	0	0	406	1	0	0	0	0	0	0	0	0	0	0	0	1	800
177	修复油	3	9	1	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	1	800
178	黑铁矿石	43	0	4	0	0	0	284	10000	0	0	0	0	0	0	0	0	0	0	0	0	1000
179	生命项链	20	0	1	0	0	0	320	6000	0	0	0	0	0	0	1	5	0	0	2	25	10000
180	力量戒指	22	0	3	0	0	0	336	6000	0	0	0	0	0	6	0	0	0	0	1	46	20000
181	心灵手镯	26	0	1	0	0	0	328	7000	0	0	0	0	0	0	0	0	1	2	3	24	13000
182	黑铁头盔	15	0	20	0	0	0	344	10000	2	6	2	3	0	0	0	0	0	0	1	46	25000
183	烈火剑法	4	0	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	20000
184	野蛮冲撞	4	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	8000
185	心灵启示	4	2	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5000
186	群体治愈术	4	2	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	10000
187	召唤神兽	4	2	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	20000
188	魔法盾	4	1	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	10000
189	圣言术	4	1	1	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	10000
190	冰咆哮	4	1	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	20000
191	超级金创药	31	100	20	0	0	0	313	1	0	0	0	0	0	0	0	0	0	0	0	0	1550
192	超级魔法药	31	101	20	0	0	0	314	1	0	0	0	0	0	0	0	0	0	0	0	0	1550
193	强效太阳水	0	1	4	111	0	0	312	1	110	0	180	0	0	0	0	0	0	0	0	0	2000
194	骰子	45	6	1	0	0	0	360	1	0	0	0	0	0	0	0	0	0	0	0	0	3000
195	木料	45	2	1	0	0	0	368	1	0	0	0	0	0	0	0	0	0	0	0	0	500
196	落魄神兵	5	30	40	0	0	0	55	40000	0	0	0	0	0	0	0	0	0	0	0	40	100000
197	彩票	3	11	1	0	0	0	265	1	0	0	0	0	0	0	0	0	0	0	0	0	455
198	中型盔甲(男)	10	2	12	0	0	0	61	12000	3	5	1	2	0	0	0	0	0	0	0	16	6000
199	中型盔甲(女)	11	2	12	0	0	0	81	12000	3	5	1	2	0	0	0	0	0	0	0	16	6000
200	上网卡	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
201	正版游戏	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
202	许中医的药1	0	2	1	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	100
203	许中医的药2	0	3	1	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	100
204	许中医的药3	0	4	1	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	100
205	药剂师的信	46	1	1	0	0	0	266	1	0	0	0	0	0	0	0	0	0	0	0	0	10
206	命运之刃	5	29	48	0	0	0	65	25000	0	0	0	0	12	16	0	0	0	0	0	35	20000
207	屠龙	5	26	92	0	0	0	57	33000	0	0	0	0	5	40	0	0	0	0	0	40	38000
208	龙纹剑	5	25	40	0	-1	0	56	22000	0	1	0	0	8	22	0	0	3	5	0	40	35000
209	嗜魂法杖	6	27	26	0	0	0	58	10000	0	0	0	0	6	13	2	10	0	0	0	40	38000
210	紫碧螺	22	0	2	0	0	0	183	5000	0	0	0	0	0	0	0	5	0	0	2	24	15000
211	泰坦戒指	22	0	2	0	0	0	182	5000	0	0	0	0	0	0	0	0	0	5	3	24	15000
212	幽灵手套	26	0	5	0	0	0	186	8000	0	3	0	0	0	0	0	0	0	0	0	25	8000
213	阎罗手套	26	0	10	0	0	0	187	8000	0	4	0	0	0	0	0	0	0	0	0	30	10000
214	龙之手镯	26	0	2	0	0	0	214	6000	0	0	0	0	0	0	0	3	0	0	2	28	12000
215	天珠项链	20	0	1	0	0	0	218	7000	0	0	0	0	0	0	0	0	1	5	3	22	10000
216	幽灵项链	20	0	1	0	0	0	219	8000	0	0	0	0	0	5	0	0	0	0	0	24	10000
217	火把	30	0	3	0	0	0	131	20000	0	0	0	0	0	0	0	0	0	0	0	0	500
218	头盔	15	0	5	0	0	0	100	1000	0	0	0	0	0	0	0	0	0	0	0	1	10
219	鹿茸	0	1	5	0	0	0	6	1	100	0	100	0	0	0	0	0	0	0	0	0	100
220	骨玉权杖	6	28	20	0	0	0	59	18000	0	0	0	0	6	12	1	7	0	0	0	30	28000
221	神秘戒指	22	130	1	0	0	0	181	5000	0	0	0	0	0	0	0	0	0	0	0	18	100
222	神秘腰带	26	131	1	0	0	0	215	8000	0	0	0	0	0	0	0	0	0	0	0	18	100
223	神秘头盔	15	132	10	0	0	0	111	10000	0	0	0	0	0	0	0	0	0	0	0	18	100
224	神水	0	2	1	0	0	0	119	1	0	0	0	0	0	0	0	0	0	0	0	0	100
225	命运之书	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100
226	金条	47	0	10	0	0	0	117	1	0	0	0	0	0	0	0	0	0	0	0	0	100
227	米糕	0	1	2	0	0	0	118	1	150	0	150	0	0	0	0	0	0	0	0	0	100
228	鹿血	0	1	1	0	0	0	23	1	20	0	20	0	0	0	0	0	0	0	0	0	100
229	生灵戒指	22	0	2	0	0	0	297	4000	0	0	0	0	0	1	0	0	0	0	0	20	8000
230	生灵手镯	26	0	2	0	0	0	298	4000	0	0	0	0	0	0	0	0	1	1	0	20	8000
231	生灵项链	20	0	2	0	0	0	296	4000	0	0	0	0	0	0	0	1	0	0	0	20	8000
232	魔力戒指	22	0	2	0	0	0	289	4000	0	0	0	0	0	0	0	1	0	0	0	20	8000
233	魔力手镯	26	0	2	0	0	0	290	4000	0	0	0	0	0	1	0	0	0	0	0	20	8000
234	魔力项链	20	0	2	0	0	0	288	4000	0	0	0	0	0	0	0	0	0	1	0	20	8000
235	佛牌	45	2	1	0	0	0	368	1	0	0	0	0	0	0	0	0	0	0	0	0	0
236	介绍信	46	1	1	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	疗伤药	0	1	4	113	0	0	14	0	110	0	180	0	0	0	0	0	0	0	0	0	2000
238	薄荷叶	42	0	1	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	祈福项链	20	0	1	0	0	0	218	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
240	牢犯匕首	5	6	5	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	恶魔长袍(女)	11	4	16	0	0	0	83	22000	3	10	5	6	0	0	0	4	0	0	0	33	22000
242	恶魔长袍(男)	10	4	16	0	0	0	63	22000	3	10	5	6	0	0	0	4	0	0	0	33	22000
243	幽灵战衣(女)	11	5	26	0	0	0	84	24000	3	12	4	5	0	0	0	0	0	4	0	33	22000
244	幽灵战衣(男)	10	5	26	0	0	0	64	24000	3	12	4	5	0	0	0	0	0	4	0	33	22000
245	战神盔甲(男)	10	3	51	0	0	0	62	30000	5	15	3	4	0	0	0	0	0	0	0	33	25000
246	战神盔甲(女)	11	3	51	0	0	0	82	30000	5	15	3	4	0	0	0	0	0	0	0	33	25000
247	MP3随身听	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
248	AMD芯片	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
249	液晶显示器	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
250	时尚手机	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
251	数码相机	47	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
252	山洞凭证	46	1	1	0	0	0	265	1	0	0	0	0	0	0	0	0	0	0	0	0	100
253	筹码	46	1	2	110	0	0	391	1	0	0	0	0	0	0	0	0	0	0	0	0	1000
254	特殊药水	0	1	5	0	0	0	4	1	20	0	20	0	0	0	0	0	0	0	0	0	100
