# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: rows in original dump order
# columns: name	race	raceImg	appr	level	undead	coolEye	exp	hp	mp	ac	mac	dc	dcMax	mc	sc	speed	hit	walkSpd	walkStep	walkWait	attackSpd
僵尸10	94	40	40	25	1	0	210	155	0	0	0	8	16	0	0	13	15	2000	1	0	3000
僵尸2	95	41	50	25	1	0	200	155	0	2	1	8	17	0	0	15	13	2000	1	0	3000
僵尸20	95	41	50	25	1	0	200	155	0	2	1	8	17	0	0	15	15	2000	1	0	3000
僵尸3	96	42	51	25	1	0	200	155	0	2	1	6	17	0	0	15	12	2000	1	0	3000
僵尸30	96	42	51	25	1	0	200	155	0	2	1	6	17	0	0	15	14	2000	1	0	3000
僵尸4	96	42	52	25	1	0	200	155	0	2	1	6	17	0	0	15	12	2000	1	0	3000
僵尸40	96	42	52	25	1	0	200	155	0	2	1	6	17	0	0	15	14	2000	1	0	3000
僵尸5	96	42	53	25	1	0	200	155	0	2	1	6	16	0	0	15	12	1500	1	0	3000
僵尸50	96	42	53	25	1	0	200	155	0	2	1	6	16	0	0	15	14	1500	1	0	3000
尸王	81	19	152	40	1	1	800	600	0	3	5	18	36	0	0	15	15	1500	1	0	2800
尸王1	81	19	152	50	1	1	100	800	0	100	0	0	60	0	0	17	20	600	1	0	2000
尸王2	81	19	152	50	1	1	800	600	0	3	5	18	36	0	0	15	15	1200	1	0	2800
红蛇	81	19	36	17	0	0	70	60	0	0	2	7	12	0	0	15	11	1200	1	0	2500
红蛇0	81	19	36	17	0	0	70	60	0	0	2	7	12	0	0	15	13	1200	1	0	2500
练功师	55	19	72	99	0	0	1	9999	0	0	0	1	1	0	0	0	0	1200	1	0	2500
变异骷髅	100	23	37	16	1	0	1	60	0	10	10	10	25	0	0	22	15	1000	1	0	2800
虎蛇	81	19	38	17	0	0	98	60	0	0	2	10	11	0	0	15	12	1200	1	0	2500
虎蛇0	81	19	38	17	0	0	98	60	0	0	2	10	11	0	0	15	14	1200	1	0	2500
羊	52	19	43	13	0	0	27	20	0	0	0	1	3	0	0	10	7	1400	1	0	3000
猎鹰	53	19	44	16	0	0	55	38	0	0	0	7	10	0	0	40	15	1200	1	0	2500
猎鹰0	53	19	44	16	0	0	55	38	0	0	0	7	10	0	0	40	17	1200	1	0	2500
盔甲虫	81	19	45	16	0	0	52	50	0	0	0	4	10	0	0	12	7	1200	1	0	2500
盔甲虫0	81	19	45	16	0	0	52	50	0	0	0	4	10	0	0	12	9	1200	1	0	2500
威思而小虫	82	19	48	16	0	0	60	50	0	2	1	6	9	0	0	15	12	1000	1	0	2300
沙虫	82	19	49	17	0	0	77	54	0	0	0	8	11	0	0	15	13	1000	1	0	2300
多角虫	81	19	90	16	0	0	42	52	0	0	0	7	8	0	0	13	10	1300	1	0	2500
多角虫0	81	19	90	16	0	0	42	52	0	0	0	7	8	0	0	13	12	1300	1	0	2500
巨型多角虫	81	19	91	27	0	1	480	250	0	0	0	7	15	0	0	13	12	1000	1	0	2500
巨型多角虫1	81	19	91	27	0	1	100	900	0	0	100	0	80	0	0	17	20	600	1	0	1800
狼	53	19	70	16	0	0	48	48	0	0	0	6	8	0	0	13	10	1200	1	0	2500
蜈蚣	81	19	73	26	0	0	310	210	0	0	5	12	18	0	0	15	13	1500	1	0	2000
蜈蚣0	81	19	73	26	0	0	310	210	0	0	5	12	18	0	0	15	15	1500	1	0	2000
触龙神	107	33	140	60	0	1	6000	2000	0	20	50	40	90	0	0	15	15	2000	1	0	2000
黑色恶蛆	81	19	74	28	0	0	250	200	0	5	0	10	15	0	0	15	13	500	1	0	1500
黑色恶蛆0	81	19	74	28	0	0	250	200	0	5	0	10	15	0	0	15	15	500	1	0	1500
钳虫	81	19	120	31	0	0	340	240	0	5	7	15	25	0	0	15	13	1500	1	0	1800
钳虫0	81	19	120	31	0	0	340	240	0	5	7	15	25	0	0	15	15	1500	1	0	1800
邪恶钳虫	81	19	121	60	0	1	3600	2000	0	20	10	22	50	0	0	15	17	700	1	0	1800
邪恶钳虫1	81	19	121	60	0	1	100	600	0	20	20	0	50	0	0	17	20	600	1	0	2500
跳跳蜂	81	19	81	26	1	0	275	180	0	3	3	12	18	0	0	15	13	1500	1	0	2000
跳跳蜂0	81	19	81	26	1	0	275	180	0	3	3	12	18	0	0	15	15	1500	1	0	2000
巨型蠕虫	81	19	82	26	1	0	310	180	0	3	3	15	18	0	0	15	13	1200	1	0	2000
巨型蠕虫0	81	19	82	26	1	0	310	180	0	3	3	15	18	0	0	15	15	1200	1	0	2000
角蝇	103	43	41	30	0	0	370	200	0	0	6	0	0	0	0	1	1	1200	1	0	2500
蝙蝠	81	31	42	5	0	0	5	3	0	0	0	0	22	0	0	5	18	1200	1	0	2500
楔蛾	105	52	39	32	0	1	540	220	0	0	5	13	18	0	0	15	12	600	1	0	2500
红野猪	81	19	110	32	1	0	500	300	0	0	8	18	25	0	0	15	13	1200	1	0	2000
红野猪0	81	19	110	32	1	0	500	300	0	0	8	18	25	0	0	15	15	1200	1	0	2000
黑野猪	81	19	111	35	1	0	580	280	0	10	0	20	26	0	0	15	13	800	1	0	2000
黑野猪0	81	19	111	35	1	0	580	280	0	10	0	20	26	0	0	15	15	800	1	0	2000
白野猪	81	19	112	50	1	0	3600	2000	0	15	15	30	55	0	0	25	17	800	1	0	1800
白野猪0	81	19	112	50	1	0	3600	2000	0	15	15	30	55	0	0	25	17	800	1	0	1800
白野猪1	81	19	112	50	1	0	100	400	0	0	0	0	40	0	0	17	20	600	1	0	3000
蝎蛇	81	19	130	35	1	0	550	330	0	5	3	22	28	0	0	15	13	600	1	0	2000
蝎蛇0	81	19	130	35	1	0	550	330	0	5	3	22	28	0	0	15	15	600	1	0	2000
邪恶毒蛇	81	19	164	50	1	1	4800	2000	0	30	30	30	85	0	0	25	17	600	1	0	1800
邪恶毒蛇1	81	19	164	50	1	1	100	200	0	0	0	0	30	0	0	17	20	600	1	0	3000
大老鼠	81	19	46	32	1	0	1800	900	0	12	12	15	32	0	0	15	15	1200	1	0	2500
大老鼠0	81	19	46	32	1	0	1800	900	0	12	12	15	32	0	0	15	15	1200	1	0	2000
祖玛弓箭手	104	45	47	40	1	0	1900	900	0	10	15	22	38	0	0	15	15	1000	1	0	2500
祖玛弓箭手0	104	45	47	40	1	0	1900	900	0	10	15	22	38	0	0	15	17	1000	1	0	2500
祖玛雕像	101	47	61	50	1	0	2200	1000	0	12	15	22	38	0	0	17	15	900	1	0	2000
祖玛雕像0	101	47	61	50	1	0	2200	1000	0	12	15	22	38	0	0	17	17	900	1	0	2000
祖玛卫士	101	47	62	43	1	0	2400	1100	0	16	16	27	44	0	0	17	15	700	1	0	2000
祖玛卫士0	101	47	62	43	1	0	2400	1100	0	16	16	27	44	0	0	17	17	700	1	0	2000
祖玛教主	102	49	63	60	1	1	12000	12000	0	35	30	40	80	0	0	32	30	630	1	0	1000
弓箭手	112	45	71	99	0	0	1	2000	0	20	20	15	30	0	0	18	15	500	1	0	1200
护卫	81	19	72	99	0	0	1	1000	0	15	15	17	32	0	0	18	15	500	1	0	1500
SabukDoor	110	99	900	99	0	0	1	10000	0	20	20	0	0	0	0	15	1	1000	1	0	1000
SabukW1	111	98	901	99	0	0	1	5000	0	20	99	0	0	0	0	15	1	1000	1	0	1000
SabukW2	111	98	902	99	0	0	1	5000	0	20	99	0	0	0	0	15	1	1000	1	0	1000
SabukW3	111	98	903	99	0	0	1	5000	0	20	99	0	0	0	0	15	1	1000	1	0	1000
弓箭守卫	112	45	71	99	0	0	1	2000	0	15	15	20	35	0	0	18	15	500	1	0	1200
神兽	113	54	170	32	1	0	1	100	0	8	6	6	20	0	0	10	10	0	1	0	0
神兽1	114	55	171	32	1	0	1	300	0	25	20	20	30	0	0	20	25	0	1	0	0
雕	89	19	44	32	0	0	800	500	0	3	6	18	36	0	0	40	15	1200	1	0	2500
血巨人	81	19	115	55	0	30	960	700	0	6	10	12	30	0	0	20	15	1000	4	2000	2000
血巨人0	81	19	115	65	0	30	960	700	0	6	10	15	33	0	0	20	18	800	4	2000	2000
月魔蜘蛛	105	19	113	52	0	100	540	300	0	3	9	10	17	0	0	15	16	500	4	1200	2000
月魔蜘蛛0	105	19	113	52	0	100	540	300	0	3	9	10	17	0	0	15	16	500	4	1200	2000
黑锷蜘蛛	81	19	118	53	0	0	600	350	0	10	5	12	27	0	0	15	16	1100	4	2000	2000
黑锷蜘蛛0	81	19	118	63	0	10	600	350	0	10	5	12	27	0	0	15	18	1000	4	2000	2000
钢牙蜘蛛	81	19	114	45	0	20	570	300	0	7	10	12	22	0	0	15	16	1100	1	0	1500
钢牙蜘蛛0	81	19	114	63	0	30	570	300	0	7	10	12	28	0	0	15	18	1100	1	0	1500
天狼蜘蛛	81	19	119	40	0	0	520	300	0	6	9	10	22	0	0	15	16	1200	3	2000	1800
天狼蜘蛛0	81	19	119	50	0	10	520	300	0	6	9	12	24	0	0	15	18	1000	3	2000	1800
花吻蜘蛛	81	19	117	54	0	50	640	350	0	8	11	15	27	0	0	15	16	1100	1	0	1800
花吻蜘蛛0	81	19	117	64	0	50	640	330	0	8	11	15	30	0	0	15	18	800	1	0	1800
赤月恶魔	115	34	131	60	1	1	6000	5000	0	20	20	25	90	0	0	30	23	0	1	0	2000
爆裂蜘蛛	117	36	133	52	0	100	7	10	0	0	0	20	40	0	0	30	30	800	1	0	0
带刀护卫1	112	45	2	99	1	1	1	9999	0	100	100	200	200	200	200	200	200	500	1	0	2300
邪恶钳虫2	81	19	121	60	0	100	3600	2000	0	20	10	22	50	0	0	15	17	700	1	0	1800
蝎蛇3	81	19	130	40	1	0	550	500	0	9	7	26	32	0	0	15	15	600	1	0	2000
幻影蜘蛛	116	35	132	53	0	0	540	210	0	0	10	0	0	0	0	1	1	0	1	0	2500
带刀护卫	11	24	2	99	0	1	1	9999	0	200	200	150	150	200	200	200	200	500	1	0	2000
暴牙蜘蛛	81	19	114	45	0	20	570	300	0	7	10	12	22	0	0	15	16	1100	1	0	1500
暴牙蜘蛛0	81	19	114	63	0	30	570	300	0	7	10	12	28	0	0	15	18	1100	1	0	1500
血僵尸	96	42	116	56	1	1	1800	900	0	12	16	20	35	0	0	10	25	600	1	0	1500
血僵尸0	96	42	116	56	1	1	1800	900	0	12	16	20	35	0	0	10	25	600	1	0	1500
鹰卫	104	45	71	10	0	0	500	1500	0	15	18	30	50	0	0	20	15	500	1	0	1500
虎卫	100	19	72	10	0	0	250	400	0	20	15	30	40	0	0	18	15	500	1	0	1800
神兽0	81	55	171	38	1	0	1000	2400	0	8	6	6	41	0	0	15	15	1500	1	0	2000
石墓尸王	95	41	50	55	1	0	3000	5000	0	20	18	80	150	0	0	20	30	1000	1	0	1500
蜜蜂	81	19	42	26	1	0	210	200	0	3	3	12	18	0	0	15	13	1500	1	0	2000
变异骷髅0	104	15	37	50	0	0	500	700	0	12	24	25	36	0	0	15	17	600	1	0	1800
神兽2	81	55	171	43	1	0	480	495	0	15	15	22	34	0	0	17	15	700	1	0	2000
虹魔猪卫	81	61	103	60	1	0	18000	8000	0	30	30	30	75	0	0	17	18	1000	1	0	1000
虹魔蝎卫	81	60	153	60	1	1	12000	5000	25	30	30	30	65	0	0	17	18	630	1	0	1000
虹魔教主	81	62	122	60	1	1	30000	30000	0	35	35	50	100	0	0	20	20	630	1	0	1000
恶魔弓箭手	112	45	47	99	0	0	1	2000	0	15	15	20	35	0	0	18	15	500	1	0	1200
恶灵僵尸	81	19	142	35	1	0	1020	430	0	6	15	14	30	0	0	15	13	1000	1	0	1800
恶灵僵尸0	81	19	142	35	1	0	1020	430	0	6	15	14	30	0	0	15	13	1000	1	0	1800
恶灵尸王	81	64	143	33	1	0	940	350	0	6	15	12	26	0	0	15	13	1500	1	0	2200
恶灵尸王0	81	64	143	33	1	0	940	350	0	6	15	12	26	0	0	15	13	1500	1	0	2200
骷髅锤兵	81	67	144	49	1	100	1350	620	0	9	15	19	35	0	0	15	15	800	1	0	1800
骷髅锤兵0	81	67	144	49	1	100	1350	620	0	9	15	21	35	0	0	15	15	800	1	0	1800
骷髅长枪兵	81	66	145	42	1	0	1150	520	0	7	15	17	30	0	0	15	13	1200	1	0	2000
骷髅长枪兵0	81	66	145	42	1	0	1150	520	0	7	15	19	32	0	0	15	13	1200	1	0	2000
骷髅刀斧手	81	65	146	45	1	0	1280	540	0	7	15	19	30	0	0	15	13	1000	1	0	2000
骷髅刀斧手0	81	65	146	45	1	0	1280	540	0	7	15	19	30	0	0	15	13	1000	1	0	2000
骷髅弓箭手	104	68	147	38	1	30	1020	450	0	7	15	9	24	0	0	10	15	1200	1	0	2000
骷髅弓箭手0	104	68	147	38	1	30	1020	450	0	7	15	11	26	0	0	10	15	1200	1	0	2000
黄泉教主	81	63	148	60	1	100	10000	10000	0	30	30	45	85	0	0	22	20	300	1	0	1200
牛头魔	81	19	200	42	1	0	1380	500	0	8	15	20	33	0	0	14	14	1100	1	0	2000
牛头魔0	81	19	200	42	1	0	1380	500	0	8	15	20	33	0	0	15	15	1100	1	0	2000
牛魔战士	81	19	201	48	1	0	1480	630	0	11	15	22	35	0	0	15	15	1300	1	0	1900
牛魔战士0	81	19	201	48	1	0	1480	630	0	11	15	22	35	0	0	15	15	1300	1	0	1900
牛魔斗士	81	19	202	48	1	0	1450	600	0	8	18	22	35	0	0	15	15	1100	1	0	1700
牛魔斗士0	81	19	202	48	1	0	1450	600	0	8	18	22	35	0	0	15	15	1100	1	0	1700
牛魔侍卫	81	19	203	48	1	50	1450	550	0	8	15	22	35	0	0	17	15	600	1	0	1500
牛魔侍卫0	81	19	203	48	1	50	1450	550	0	8	15	22	35	0	0	17	15	600	1	0	1500
牛魔将军	81	19	204	48	1	0	1520	500	0	8	15	24	37	0	0	15	15	1100	1	0	1900
牛魔将军0	81	19	204	48	1	0	1520	500	0	8	15	24	37	0	0	15	15	1100	1	0	1800
牛魔法师	94	70	205	49	1	40	1700	620	0	11	17	15	39	0	0	16	18	1000	1	0	1800
牛魔法师0	94	70	205	49	1	50	1700	620	0	11	17	15	39	0	0	16	18	1000	1	0	1800
牛魔祭司	81	71	206	49	1	40	1700	570	0	10	15	16	39	0	0	16	18	1000	1	0	1800
牛魔祭司0	81	71	206	49	1	50	1700	570	0	10	15	16	39	0	0	16	18	1000	1	0	1800
牛魔王	81	72	207	60	1	100	15000	15000	0	35	35	40	100	0	0	22	22	300	1	0	1000
一六男战	150	19	0	16	0	100	5000	163	67	2	0	2	3	0	0	88	45	450	1	0	450
一六女战	150	19	0	16	0	100	5000	163	67	2	0	2	3	0	0	88	45	450	1	0	450
二一男战	150	19	0	21	0	100	5000	241	85	3	0	3	4	0	0	88	45	450	1	0	450
二一女战	150	19	0	21	0	100	5000	241	85	3	0	3	4	0	0	88	45	450	1	0	450
二六男战	150	19	0	26	0	100	5000	334	102	3	0	4	5	0	0	88	45	450	1	0	450
二六女战	150	19	0	26	0	100	5000	334	102	3	0	4	5	0	0	88	45	450	1	0	450
三一男战	150	19	0	31	0	100	5000	442	119	4	0	5	6	0	0	88	45	450	1	0	450
三一女战	150	19	0	31	0	100	5000	442	119	4	0	5	6	0	0	88	45	450	1	0	450
三六男战	150	19	0	36	0	100	5000	565	137	5	0	6	7	0	0	88	45	450	1	0	450
三六女战	150	19	0	36	0	100	5000	565	137	5	0	6	7	0	0	88	45	450	1	0	450
四一男战	150	19	0	41	0	100	5000	703	155	5	0	7	8	0	0	88	45	450	1	0	450
四一女战	150	19	0	41	0	100	5000	703	155	5	0	7	8	0	0	88	45	450	1	0	450
四六男战	150	19	0	46	0	100	5000	856	172	6	0	8	9	0	0	88	45	450	1	0	450
四六女战	150	19	0	46	0	100	5000	856	172	6	0	8	9	0	0	88	45	450	1	0	450
五一男战	150	19	0	51	0	100	5000	1024	189	7	0	9	10	0	0	88	45	450	1	0	450
五一女战	150	19	0	51	0	100	5000	1024	189	7	0	9	10	0	0	88	45	450	1	0	450
一六男法	150	19	0	16	0	100	5000	60	196	0	0	1	2	2	0	88	45	750	1	0	750
一六女法	150	19	0	16	0	100	5000	60	196	0	0	1	2	2	0	88	45	750	1	0	750
二一男法	150	19	0	21	0	100	5000	81	299	0	0	2	3	3	0	88	45	750	1	0	750
二一女法	150	19	0	21	0	100	5000	81	299	0	0	2	3	3	0	88	45	750	1	0	750
二六男法	150	19	0	26	0	100	5000	106	425	0	0	2	3	3	0	88	45	750	1	0	750
二六女法	150	19	0	26	0	100	5000	106	425	0	0	2	3	3	0	88	45	750	1	0	750
三一男法	150	19	0	31	0	100	5000	134	572	0	0	3	4	4	0	88	45	750	1	0	750
三一女法	150	19	0	31	0	100	5000	134	572	0	0	3	4	4	0	88	45	750	1	0	750
三六男法	150	19	0	36	0	100	5000	165	742	0	0	4	5	5	0	88	45	750	1	0	750
三六女法	150	19	0	36	0	100	5000	165	742	0	0	4	5	5	0	88	45	750	1	0	750
四一男法	150	19	0	41	0	100	5000	200	933	0	0	4	5	5	0	88	45	750	1	0	750
四一女法	150	19	0	41	0	100	5000	200	933	0	0	4	5	5	0	88	45	750	1	0	750
四六男法	150	19	0	46	0	100	5000	238	1146	0	0	5	6	6	0	88	45	750	1	0	750
四六女法	150	19	0	46	0	100	5000	238	1146	0	0	5	6	6	0	88	45	750	1	0	750
五一男法	150	19	0	51	0	100	5000	279	1382	0	0	6	7	7	0	88	45	750	1	0	750
五一女法	150	19	0	51	0	100	5000	279	1382	0	0	6	7	7	0	88	45	750	1	0	750
一六男道	150	19	0	16	0	100	5000	97	83	0	4	1	2	0	2	88	45	750	1	0	750
一六女道	150	19	0	16	0	100	5000	97	83	0	4	1	2	0	2	88	45	750	1	0	750
二一男道	150	19	0	21	0	100	5000	140	134	0	5	2	3	0	3	88	45	750	1	0	750
二一女道	150	19	0	21	0	100	5000	140	134	0	5	2	3	0	3	88	45	750	1	0	750
二六男道	150	19	0	26	0	100	5000	192	199	0	5	2	3	0	3	88	45	750	1	0	750
二六女道	150	19	0	26	0	100	5000	192	199	0	5	2	3	0	3	88	45	750	1	0	750
三一男道	150	19	0	31	0	100	5000	252	277	0	6	3	4	0	4	88	45	750	1	0	750
三一女道	150	19	0	31	0	100	5000	252	277	0	6	3	4	0	4	88	45	750	1	0	750
三六男道	150	19	0	36	0	100	5000	320	369	0	7	4	5	0	5	88	45	750	1	0	750
三六女道	150	19	0	36	0	100	5000	320	369	0	7	4	5	0	5	88	45	750	1	0	750
四一男道	150	19	0	41	0	100	5000	397	475	0	8	4	5	0	5	88	45	750	1	0	750
四一女道	150	19	0	41	0	100	5000	397	475	0	8	4	5	0	5	88	45	750	1	0	750
四六男道	150	19	0	46	0	100	5000	482	595	0	9	5	6	0	6	88	45	750	1	0	750
四六女道	150	19	0	46	0	100	5000	482	595	0	9	5	6	0	6	88	45	750	1	0	750
五一男道	150	19	0	51	0	100	5000	575	728	0	9	6	7	0	7	88	45	750	1	0	750
五一女道	150	19	0	51	0	100	5000	575	728	0	9	6	7	0	7	88	45	750	1	0	750
月灵	137	56	172	80	1	100	100	400	0	0	30	30	50	70	0	15	15	500	1	0	1200
魔龙刀兵	101	19	213	54	1	10	4400	1100	0	18	20	38	60	0	0	16	18	900	1	0	1600
魔龙刀兵0	101	19	213	54	1	10	4400	1100	0	18	20	38	60	0	0	16	18	900	1	0	1600
魔龙破甲兵	101	19	214	54	1	10	4500	1170	0	18	20	42	64	0	0	16	15	900	1	0	1700
魔龙破甲兵0	101	19	214	54	1	10	4500	1170	0	18	20	42	64	0	0	16	15	900	1	0	1700
魔龙射手	104	45	215	58	1	10	4000	1000	0	15	18	27	44	0	0	15	15	1000	1	0	1800
魔龙射手0	104	45	215	58	1	10	4000	1000	0	15	18	27	44	0	0	15	15	1000	1	0	1800
魔龙巨蛾	104	45	210	58	1	10	4100	1100	0	18	20	33	49	0	0	15	15	500	1	0	1800
魔龙力士	92	19	211	57	1	50	4900	1350	0	20	22	54	79	0	0	18	17	800	1	0	1400
魔龙战将	92	21	212	57	1	50	5100	1440	0	22	20	50	75	0	0	17	18	800	1	0	1400
魔龙教主	101	78	218	60	1	100	32000	25000	0	40	45	60	120	0	0	25	25	700	1	0	1000
火龙教主	144	83	800	200	1	0	50000	32000	0	40	45	60	120	0	0	30	30	800	1	0	3000
火龙守护兽	145	95	802	999	1	1000	0	18000	0	30	30	40	45	0	0	17	15	300	1	0	2000
狐月黑狐	129	101	320	50	1	0	5000	1500	0	20	5	10	65	0	0	16	16	1200	1	0	2200
狐月赤狐	131	101	321	50	1	0	5000	800	0	5	15	40	75	0	0	16	16	800	1	0	1800
狐月素狐	131	101	322	50	1	0	5200	1200	0	10	25	25	55	0	0	16	16	1500	1	0	2200
狐月魂石	135	108	324	60	1	1	4000	1200	0	10	15	22	55	0	0	17	17	5000	1	0	1500
狐月之眼	81	109	325	37	1	0	2000	1000	0	10	15	20	32	0	0	13	13	1050	1	0	1500
狐月魔眼	81	109	326	39	1	1	4000	1500	0	10	15	25	80	0	0	16	18	1050	1	0	1500
狐月天珠	136	110	327	60	1	1	30000	30000	0	35	80	60	100	0	0	30	30	5000	1	0	700
狐月角虫	104	45	328	38	0	0	2100	700	0	17	17	20	52	0	0	18	16	900	1	0	1600
狐月虎虫	104	45	329	46	0	1	2400	800	0	15	19	25	57	0	0	18	16	900	1	0	1600
狐月黑狐0	130	101	320	50	1	0	5000	1500	0	20	5	10	65	0	0	16	16	1200	1	0	2200
